APIB_IND,COUNTY_CODE,COUNTY_NAME,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,record_count
IB,28.0,NASSAU,2538,2523,1813.0,881.0,9,0.7185889813713833,0.3491874752279033,0.9940898345153665,51
IB,3.0,BROOME,285,257,120.0,43.0,12,0.4669260700389105,0.16731517509727625,0.9017543859649123,29
IB,31.0,NEW YORK,884,819,519.0,315.0,4,0.6336996336996337,0.38461538461538464,0.9264705882352942,18
IB,32.0,BRONX,113,90,29.0,4.0,3,0.32222222222222224,0.044444444444444446,0.7964601769911505,10
IB,33.0,KINGS,73,62,24.0,5.0,5,0.3870967741935484,0.08064516129032258,0.8493150684931506,10
IB,34.0,QUEENS,502,500,424.0,272.0,2,0.848,0.544,0.9960159362549801,11
IB,42.0,ONONDAGA,181,169,61.0,21.0,3,0.3609467455621302,0.1242603550295858,0.9337016574585635,11
IB,43.0,ONTARIO,50,48,34.0,12.0,2,0.7083333333333334,0.25,0.96,7
IB,48.0,PUTNAM,190,177,154.0,83.0,4,0.8700564971751412,0.4689265536723164,0.9315789473684211,11
IB,50.0,ROCKLAND,128,101,85.0,44.0,13,0.8415841584158416,0.43564356435643564,0.7890625,23
IB,51.0,SAINT LAWRENCE,46,40,33.0,21.0,3,0.825,0.525,0.8695652173913043,7
IB,52.0,SARATOGA,76,65,55.0,27.0,4,0.8461538461538461,0.4153846153846154,0.8552631578947368,8
IB,53.0,SCHENECTADY,214,201,130.0,54.0,5,0.6467661691542289,0.26865671641791045,0.9392523364485982,16
IB,57.0,STEUBEN,325,291,263.0,157.0,18,0.9037800687285223,0.5395189003436426,0.8953846153846153,33
IB,58.0,SUFFOLK,2558,2543,2039.0,1048.0,9,0.8018088871411718,0.4121116791191506,0.9941360437842064,60
IB,63.0,WARREN,187,173,158.0,120.0,7,0.9132947976878613,0.6936416184971098,0.9251336898395722,18
IB,65.0,WAYNE,83,71,58.0,23.0,6,0.8169014084507042,0.323943661971831,0.8554216867469879,11
IB,66.0,WESTCHESTER,3313,3219,2228.0,1091.0,40,0.6921404162783473,0.3389251320285803,0.9716269242378509,130
